data_path, num_vehicle, carbon_heu1, reject_heu1, carbon_heu2, reject_heu2, carbon_heu3, reject_heu3, carbon_heu4, reject_heu4, carbon_heu5, reject_heu5, carbon_heu6, reject_heu6
h100c107.csv,5,1901.6492176306892,3, 1114.925663123521,50, 1089.1177777343157,41, 1236.1502774936098,41, 1321.420588124225,36, 1283.4663544685618,39
h100c107.csv,10,2117.4191945473376,0, 2394.415592634201,36, 1989.9516898292616,34, 2150.7502430776644,41, 2188.0988975771097,27, 2542.9934740477315,15
h100c108.csv,3,1568.4655074631942,0, 1045.1417691730278,33, 1018.498984486683,23, 1230.3208057069728,23, 961.0348176669125,26, 1134.5759303471025,33
h100c108.csv,5,1568.4655074631942,0, 1107.5806737260925,49, 1633.604435483208,11, 1431.8894362001433,37, 1541.6270776815104,14, 1423.6506525897323,30
h100c108.csv,10,1568.4655074631942,0, 2455.36444327362,34, 2410.8741822901948,0, 2104.1714832427415,34, 2942.0431924664695,0, 2349.0614341607466,33
h100c109.csv,3,1449.9435896074208,0, 1271.5800988274725,23, 1142.5163801656158,12, 1091.4898304824349,27, 1081.9961587314751,16, 1171.0477345150152,29
h100c109.csv,5,1449.9435896074208,0, 998.6284517570988,45, 1834.140506561376,0, 1495.1870613932854,31, 1693.6902037817572,3, 1503.0561790681797,30
h100c109.csv,10,1449.9435896074208,0, 2560.4887512027026,31, 1834.140506561376,0, 2739.362511904808,5, 2130.2552995475016,0, 2967.6502841965375,1
h100c201.csv,3,635.5725895530264,12, 483.6119549552817,19, 549.2281613626299,12, 1158.5235413119183,6, 702.2909766226354,7, 751.7658667625101,9
h100c201.csv,5,1044.0281542906496,6, 766.621904703984,18, 939.8970324710167,12, 1025.0257275563054,12, 1190.579664795783,3, 1440.6121489648951,12
h100c201.csv,10,2238.4657373617442,0, 2044.3657380190011,3, 1550.5825689246897,12, 1831.5051939036653,6, 2453.9880524092523,0, 1774.4420279624715,11
h100c202.csv,3,1120.6471391075543,0, 955.5612870575708,9, 879.1235827382452,11, 856.0891745379336,7, 1056.4170669138746,3, 1142.7897603686642,1
h100c202.csv,5,1321.1708786405006,0, 1766.6443882077267,0, 1300.9150236949897,7, 1214.1824411933328,11, 1575.6265464369214,0, 1190.5874368808722,7
h100c202.csv,10,1321.1708786405006,0, 2462.16151844586,1, 2276.966036458898,0, 2623.925266641254,1, 1786.1795866300602,0, 2655.85598968903,0
h100c203.csv,3,1426.1286487543482,0, 1182.1159781876397,5, 944.0184390593087,8, 931.1496658692336,8, 1146.1596748611576,0, 1494.2353370093422,0
h100c203.csv,5,1426.1286487543482,0, 2094.2520805679706,0, 1361.1914890718954,5, 1498.3509794785793,5, 1146.1596748611576,0, 1955.6274890697193,0
h100c203.csv,10,1426.1286487543482,0, 2793.53757254594,0, 1904.529616392984,0, 2804.9297713780734,0, 1146.1596748611576,0, 2951.4618721850684,0
h100c204.csv,3,1192.8265220519675,0, 1591.4602590666263,0, 1161.1278853932467,0, 1362.9910122290676,0, 1046.3722856453528,0, 1610.2710912676805,0
h100c204.csv,5,1192.8265220519675,0, 1979.5520976332468,0, 1161.1278853932467,0, 1890.8545736769315,0, 1046.3722856453528,0, 1975.2651755294337,0
h100c204.csv,10,1192.8265220519675,0, 3069.0476183820983,0, 1161.1278853932467,0, 2780.21936651469,0, 1046.3722856453528,0, 3160.7378518768946,0
h100c205.csv,3,1414.0679963190441,0, 483.6470104489511,12, 569.7115521937044,3, 913.1085097669079,0, 576.760551491021,3, 1008.7003750824047,0
h100c205.csv,5,1881.6805326161887,0, 799.9490448237846,7, 848.3024177182076,3, 1077.9084803032174,1, 855.3514170155242,3, 1289.1160886586079,1
