data_path,num_vehicle,fgp,fheu1,fheu2,fheu3,fheu4,fheu5,fheu6,iheu1,iheu2,iheu3,iheu4,iheu5,iheu6
h100c202.csv,5,0.028280347,0.072040569,0.096331269,0.1055895267067224,0.1206621681837624,0.085915482,0.099573604,60.74385916,70.64260899,73.21671182,76.5623744,67.08352611,71.59855008
h100c202.csv,10,0.025025926,0.064095121,0.1243994945593745,0.1104644487923951,0.1322472810405404,0.086654496,0.1288458691413931,60.95502223,79.88261471,77.34481465,81.07641577,71.1198762,80.57685063
h100c204.csv,3,0.030052309,0.068435636,0.091306316,0.066617001,0.078198426,0.060033166,0.092385544,56.08675451,67.08627589,54.88792875,61.56916412,49.94049,67.47076677
h100c204.csv,5,0.028641787,0.065042231,0.1079406621537514,0.063313773,0.1031041794571405,0.057056401,0.1077069056332534,55.9643227,73.46524809,54.76215458,72.22053746,49.80092218,73.40765967
h100c204.csv,10,0.025760463,0.057868638,0.148891397,0.056330815,0.1348792186297202,0.050763576,0.1533396453852388,55.48458711,82.69848769,54.26932226,80.90108796,49.25404097,83.20038939
h100c205.csv,3,0.058575107,0.081128849,0.087154058,0.047537355,0.052387468,0.047941775,0.057871829,27.7999046,32.79130361,-23.2191114,-11.81129422,-22.17967852,-1.215233739
h100c205.csv,5,0.07053367,0.1026039389896599,0.078272944,0.061107567,0.063726496,0.061491934,0.075243186,31.25637225,9.887546492,-15.42542578,-10.68185886,-14.70393806,6.259060202
h100c205.csv,10,0.051214621,0.091287617,0.1003873621217543,0.074807298,0.1123821126601708,0.077713689,0.1006124767833852,43.89751562,48.98299962,31.53793547,54.42813834,34.09832738,49.09714724
h100c207.csv,3,0.054591926,0.086054676,0.049829611,0.043429293,0.05628219,0.043267718,0.052179449,36.56134769,-9.557198815,-25.70300383,3.00319417,-26.17241989,-4.62342356
h100r101.csv,3,0.1724469749048476,0.4724340454270874,0.4142177495553896,0.4683203612102493,0.4706863782826106,0.4653721873775956,0.4706543418495627,63.49819058,58.36803829,63.17756195,63.36265869,62.94428855,63.36016487
h100r101.csv,5,0.1659624175512462,0.4683401415213298,0.434395456,0.4614050411884445,0.4500096647270371,0.4583577457474626,0.4487977205921076,64.5637,61.79462396,64.03107839,63.12025484,63.79194655,63.02066389
h100r101.csv,10,0.089754517,0.4475332991069795,0.3563911517087706,0.4458095132041138,0.3494251672051766,0.4425526203116118,0.3406124118504357,79.94461704,74.815728,79.86707005,74.31366557,79.71890508,73.64907623
h100r102.csv,3,0.050018178,0.4078870641823692,0.2899479684900936,0.4052916445708017,0.3988125658847324,0.3174315913158515,0.3429598685651635,87.73724839,82.74925747,87.65871979,87.45822429,84.24284826,85.41573458
h100r102.csv,5,0.052342614,0.3519179365816741,0.2611103696490171,0.3318375908523329,0.3376572462236174,0.2704719888736719,0.3680164291401192,85.12647159,79.95383548,84.22643615,84.49829972,80.64767649,85.77709848
h100r102.csv,10,0.043977389,0.2251295736407637,0.2694244621281867,0.1299230035650573,0.2420959859468946,0.1413537844321481,0.1520668646725702,80.46574329,83.67728435,66.15119137,81.83473027,68.88842487,71.08022912
h100r110.csv,3,0.1072267090769191,0.3867929341646091,0.3080252659254957,0.402768239,0.3074390267605925,0.379094001,0.2258155539419731,72.27800727,65.18898904,73.37756586,65.12260977,71.71500764,52.51580008
h100r110.csv,5,0.056537487,0.3785019615728928,0.2286635722991956,0.4002375789535543,0.332756756,0.3830840884075034,0.1138283843003029,85.0628286,75.27481697,85.8740184,83.00936473,85.24149437,50.33094151
h100r110.csv,10,0.058361851,0.371092565,0.1231787899367677,0.3777228434936895,0.1193825591690637,0.3739416774731658,0.131961556,84.27296684,52.62021096,84.54902799,51.11358709,84.39279323,55.77359592
h100r112.csv,3,0.054575019,0.3648019844991395,0.161912912,0.3718992879031396,0.2688467894096381,0.2856979609643663,0.2801427831499321,85.03982394,66.29359669,85.32532303,79.70032699,80.89765186,80.51885595
h100r112.csv,5,0.055234839,0.3597953374002959,0.084502186,0.3795859523384135,0.085146335,0.2118916029389083,0.1085302541730279,84.64826162,34.63501812,85.44866096,35.12951673,73.93250222,49.10650555
h100r112.csv,10,0.056620674,0.34462864,0.1247868336947607,0.3774378315312451,0.1167397078084279,0.1023226554663245,0.1156237539799466,83.57052566,54.62608325,84.99867546,51.49835895,44.66457718,51.03024068
h100r202.csv,3,0.043716878,0.1037144463345883,0.3206774982544061,0.2864562449914695,0.2887927377907658,0.2563450772298507,0.2449271850314722,57.84880533,86.3673384,84.738724,84.86219615,82.94608243,82.15107148
h100r202.csv,5,0.041551476,0.098580234,0.1863212739817843,0.2085272819583871,0.2380956083629147,0.2075459430234101,0.1444928584090184,57.85009367,77.6990167,80.07384175,82.54840713,79.97962495,71.24323191
h100r202.csv,10,0.03697396,0.087723692,0.1345839542960438,0.098080419,0.1201554211689904,0.123081842,0.219825146,57.85179734,72.52721564,62.30240472,69.22822192,69.95985834,83.18028662
h100r203.csv,3,0.034442432,0.080812509,0.1481656115686769,0.1932099156547884,0.1153223617512062,0.087981064,0.1660534155372307,57.37982644,76.75409874,82.17356928,70.13377871,60.85244934,79.25822143
h100r203.csv,5,0.032368122,0.076812019,0.1102958832049471,0.094136252,0.1068155776620641,0.073268516,0.099683284,57.86060317,70.65337278,65.61566775,69.69718987,55.82260523,67.52903746
h100r203.csv,10,0.02873461,0.068352789,0.1243594789078138,0.080156095,0.1285586228151799,0.065199529,0.1258336003829001,57.96132047,76.89391248,64.15168441,77.64863266,55.92819354,77.16459678
h100r204.csv,3,0.03445086,0.1051361145409864,0.078728777,0.058284256,0.080859941,0.061633461,0.078503451,67.23213469,56.24108261,40.89165285,57.39440303,44.10364177,56.11548298
h100r204.csv,5,0.033507206,0.078420692,0.1039280068775796,0.05539899,0.1036684855719227,0.058582399,0.1027469742565829,57.27249374,67.75921401,39.51657564,67.67850316,42.80328722,67.38861993
h100r204.csv,10,0.029920369,0.069784301,0.14293345,0.049297955,0.1254194047913256,0.052130778,0.1427083801180342,57.12449821,79.06692295,39.30707883,76.14374811,42.60517461,79.0339088
h100r206.csv,3,0.043590805,0.069083272,0.086522808,0.2217218387402466,0.2329545917579294,0.1697294780987796,0.244253566,36.90107037,49.61928915,80.33986831,81.28785307,74.31748098,82.15346203
h100r206.csv,5,0.041144898,0.065663419,0.1059256582231395,0.1846606784218391,0.1969491938199907,0.1389294813622087,0.2207824694566378,37.33969634,61.15681653,77.71864691,79.10887728,70.38432925,81.36405582
h100r206.csv,10,0.03660948,0.058431973,0.1227686945005673,0.119702449,0.1830730142859314,0.1109370190602497,0.1604089021646701,37.34683556,70.18011776,69.41626479,80.00279819,66.99976217,77.17740123
h100r209.csv,3,0.065859503,0.2070463376065564,0.2288759325272911,0.2428322105532869,0.1563568362414814,0.2327596181589612,0.233129369,68.19093542,71.22480179,72.87859667,57.87871843,71.70492727,71.74980423
h100r209.csv,5,0.062637672,0.2033320541320905,0.3132481959350385,0.2409708549108374,0.1094402884598922,0.2142789993512993,0.1338299959948454,69.19439358,80.00382025,74.00612106,42.76543566,70.76817024,53.19608893
h100r209.csv,10,0.051474097,0.1766814530679131,0.278035257,0.2631497167643438,0.1390369149111736,0.1712968188468789,0.1677403428622505,70.86615734,81.48648592,80.43923544,62.97810795,69.95034882,69.31322801
h100r210.csv,3,0.05636652,0.1081280129316524,0.2658617514054805,0.1862533932409538,0.2346717302776159,0.1225063848624767,0.226378864,47.87056718,78.79855994,69.73664808,75.98069448,53.98891256,75.10080271
h100r210.csv,5,0.055168081,0.1110459817003653,0.2721479252757665,0.1909952208871505,0.2541690888616383,0.076029539,0.1392590432822588,50.31960648,79.72864183,71.11546538,78.29473248,27.43862223,60.38456146
h100r210.csv,10,0.048580645,0.1011425765104884,0.2782194704137016,0.1515253703952652,0.1272026349996929,0.067656482,0.1241678688702904,51.96815541,82.53873279,67.93893654,61.80846005,28.19513585,60.87502701
100rc101.csv,3,0.1806193963622529,0.4083743296236928,0.410888348,0.4648758129074763,0.4167880785531385,0.4451329255866408,0.4231234241091443,55.77111898,56.0417332,61.14674256,56.66397249,59.42349218,57.31283449
100rc101.csv,5,0.1204137179586009,0.3766681306385326,0.3608031104352617,0.4633674407227913,0.3679565956716358,0.42648245,0.367012248,68.03188054,66.62619737,74.01334074,67.27502119,71.76584457,67.19081754
100rc101.csv,10,0.1009402720130898,0.2814298874453574,0.3277744492986708,0.4518291905332905,0.3178179426739211,0.3740064180927271,0.3174371199940089,64.13306599,69.20435006,77.65963906,68.23959303,73.0110856,68.20149073
100rc102.csv,3,0.033995881,0.2903285532249023,0.3294901869972711,0.3595349326492975,0.4470687610010732,0.3009755959626874,0.2317867942188379,88.29054865,89.68227825,90.54448466,92.39582729,88.7047717,85.33312443
100rc102.csv,5,0.032544941,0.1939650887395649,0.1622593959623172,0.3080186623753028,0.3501100025666912,0.2456997540766867,0.2114310369698351,83.2212379,79.9426464,89.43410099,90.70436704,86.75418259,84.6073021
100rc102.csv,10,0.029528027,0.1035450813062738,0.2926159478833423,0.1465968041079872,0.2345552971089093,0.1264579858371766,0.2052279639327208,71.48292619,89.90894807,79.85765963,87.4110593,76.64993075,85.6120839
100rc103.csv,3,0.034059597,0.1917823475885188,0.2347573766533087,0.3847294458165796,0.3085809427148012,0.076298469,0.2313701127452034,82.24049421,85.49157534,91.14713015,88.96250792,55.36005171,85.27917166
100rc103.csv,5,0.032407024,0.09293704,0.1671929106620326,0.3494701172639465,0.3548026077782218,0.072759466,0.1193832412467438,65.13013086,80.61698663,90.72681107,90.86618206,55.46005753,72.8546286
100rc103.csv,10,0.029389894,0.083279964,0.1633776078734803,0.2420670813813256,0.1459008912450007,0.065199039,0.1597833550743726,64.70952531,82.01106329,87.858781,79.85626117,54.92281012,81.60641046
100rc105.csv,3,0.1685963716935727,0.3005932002877885,0.3482642620713831,0.3580113497952414,0.3907893970518333,0.3185800347384897,0.3200504343528902,43.91211394,51.5895284,52.90753441,56.85748565,47.07880177,47.3219363
100rc105.csv,5,0.073460956,0.1651906891805034,0.251518756,0.31070134,0.2630179076936494,0.283740194,0.233271531,55.52960284,70.79305065,76.35640854,72.0699795,74.10978174,68.50839219
100rc105.csv,10,0.070363605,0.092100116,0.2943206241781522,0.1912912372426221,0.1385539758172487,0.1847079433011182,0.1493241933296674,23.60095984,76.09287329,63.21650402,49.21574488,61.90547991,52.87863072
100rc107.csv,3,0.062133539,0.2582026944678474,0.1337289987729409,0.3724634042149384,0.2285125084768026,0.3419301503923376,0.1275299494943413,75.93613846,53.53772222,83.31821645,72.80956771,81.82858727,51.27925704
100rc107.csv,5,0.064287904,0.1691883223477253,0.2284076997363331,0.3191138871064287,0.1892593426347916,0.3057480816772305,0.1400199049500962,62.00216209,71.85388034,79.85424418,66.03184625,78.97357061,54.08659611
